,UMAP1,UMAP2,profileBIC,profileAIC
697,2.422195,-1.7128651,1,1
698,-1.0847089,-16.796564,0,0
699,-1.2921966,-17.045134,0,0
700,2.1042454,-2.029463,1,1
701,-1.0246823,-16.724802,0,0
702,-9.328466,11.103048,2,5
703,1.6996706,-2.057626,1,1
704,-9.323755,11.109432,2,5
705,-0.5239481,-11.987114,0,0
706,-9.287489,11.152432,2,5
707,-13.761206,11.686019,2,2
708,-5.5392294,-6.9265223,0,0
709,0.47174683,-0.13855179,1,1
710,4.3151994,0.018728856,1,1
711,0.5175772,-0.026724286,1,1
712,1.7310007,12.002141,2,5
713,-1.3180149,2.7773194,2,2
714,0.9073369,1.0108843,1,1
715,-18.557999,3.1200812,2,2
716,1.0009124,1.0790901,1,1
717,-0.79254276,3.1436973,2,2
718,8.37968,3.1111233,1,1
719,-18.561323,3.1201177,2,2
720,-18.556206,3.1181607,2,2
721,-18.949629,3.243968,2,2
722,-0.83886987,2.8924575,2,2
723,-0.8331242,2.89473,2,2
724,-18.859566,3.2146676,2,2
725,-0.8347937,2.921913,2,2
726,-18.91283,3.2332032,2,2
727,-0.848936,2.9009671,2,2
728,-19.11584,3.3030586,2,2
729,11.399295,3.847004,3,3
730,-5.3952928,-6.79322,0,0
731,-10.986346,-0.6750233,2,2
732,-10.304587,0.42797753,2,2
733,1.460954,-1.7902913,1,1
734,-9.935718,1.1868709,2,2
735,0.3270435,-1.2997687,1,1
736,0.289236,-1.2538147,1,1
737,0.3850968,-0.52160114,1,1
738,-11.435958,0.8228522,2,2
739,-6.7260523,3.81511,2,2
740,2.4305775,-1.7574949,1,1
741,2.1919217,-1.949358,1,1
742,3.5832517,-1.6397712,1,1
743,-10.969877,1.0824196,2,2
744,4.3060865,-0.033505637,1,1
745,0.35677892,-0.9070438,1,1
746,-9.375926,1.4676485,2,2
747,3.5949676,-0.60266495,1,1
748,0.27157125,-1.2653352,1,1
749,4.4849315,-8.984775,0,0
750,-5.064584,6.103551,2,2
751,-11.024273,-0.57135856,2,2
752,-11.260319,0.571733,2,2
753,-4.6849337,-6.424601,0,0
754,1.5377011,11.775461,2,5
755,2.0750697,-1.6383489,1,1
756,2.071401,-1.650833,1,1
757,4.395828,-9.017733,0,0
758,8.158359,-11.256517,0,4
759,4.4774113,-8.983917,0,0
760,4.354964,-0.0008033875,1,1
761,-11.04702,-0.6482427,2,2
762,-11.165096,-0.2795494,2,2
763,-11.273902,1.0379592,2,2
764,-11.082809,-0.79812264,2,2
765,-11.053537,1.0077381,2,2
766,3.380055,-0.8475965,1,1
767,-7.026647,4.0482554,2,2
768,-10.988898,0.99124646,2,2
769,2.858205,0.8078909,1,1
770,0.15306745,-0.026552416,1,1
771,3.6406012,-1.7265393,1,1
